parameter,default_value,units,model_component,evidence_type,source_url,source_locator,justification,plausible_range,notes
nep_to_cost_ratio_metro,0.9,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.60–1.05,
nep_to_cost_ratio_regional,0.83,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.60–1.05,
nep_to_cost_ratio_remote,0.75,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.60–1.05,
rurality_weight,0.35,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.00–0.60,
remote_weight,0.07,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.00–0.60,
nominal_cth_share_target,0.45,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.25–0.55,
effective_cth_share_base,0.38,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,0.25–0.55,
cap_growth,0.065,fraction per year,NHRA cap,primary,https://www.publichospitalfunding.gov.au/basis-national-health-reform-funding-commonwealth-2020-21-2024-25,Funding Cap (A56): 6.5%,Public source provides a defensible anchor; treat as scenario input when uncertain.,(scenario),NHFB summary of Addendum clause A56 / funding cap.
has_cumulative_cap,False,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
use_equilibrium_bargaining,False,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
use_stage_game_equilibria,True,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
equilibrium_selection_rule,payoff_dominant,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
nep_per_nwau_start,1.0,$ per NWAU (or index=1),IHACPA NEP,primary,https://www.ihacpa.gov.au/resources/national-efficient-price-determination-2025-26,NEP value (annual $/NWAU),Public source provides a defensible anchor; treat as scenario input when uncertain.,(scenario),Model uses NEP mostly for reporting; set to index=1 unless using actual $/NWAU.
nep_annual_growth,0.03,fraction per year,IHACPA NEP,primary,https://www.ihacpa.gov.au/resources/national-efficient-price-determination-2025-26,Indexation / growth assumptions (update manually),Public source provides a defensible anchor; treat as scenario input when uncertain.,(scenario),Keep as scenario parameter; use public determination for plausibility.
representative_nwau,1.0,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
input_cost_per_nwau_start,1.0,unitless,mechanism,assumed,,,Stylised mechanism parameter used for scenario comparison rather than forecasting. Default chosen for face-valid dynamics; explored in sensitivity analysis.,see sensitivity grid,
