Game,Codebase Function,Dashboard Selection,Dashboard Parameterized,Dashboard Visualized
Bargaining,bargaining_game,Indirect (Policy),Partial (Sidebar),No (Network Missing)
Compliance,compliance_game,Indirect (Policy),Partial (Sidebar),No (Network Missing)
Cost Shifting,cost_shifting_game,Indirect (Policy),Partial (Sidebar),No (Network Missing)
Definition,definition_game,Indirect (Policy),Partial (Sidebar),No (Network Missing)
Discharge,discharge_coordination_game,Indirect (Policy),Partial (Sidebar),No (Network Missing)
Governance,governance_integration_game,Indirect (Policy),No,No (Network Missing)
Signalling,N/A (in engine.py),No,No,No
Morris Screening,scripts/run_gsa.py,N/A,Yes (via CSV),Yes (Tornado)
Sobol Analysis,scripts/run_gsa.py,N/A,No,No
Interaction Heatmap,src/nhra_game_theory/sensitivity.py,N/A,No,No
Validation Metrics,scripts/validation/*,N/A,Yes (via JSON),Yes (Error Metrics)
Ghost Overlays,scripts/validation/plot_theil_decomposition.py,N/A,Yes,Yes
Evidence Manager,src/nhra_game_theory/domain/registry.py,N/A,Yes (via CSV),Yes (Staging Tab)
Interactive Network,scripts/interactive/*,No,N/A,Missing in Dashboard
Convergence Audit,N/A,No,N/A,Missing in Dashboard
